Canonical_Variate;ACME;ADE;Total_Effect;Proportion_Mediated;CI_Lower;CI_Upper;p_value
Canonical_1;-0.001;0.913;0.912;-0.001;-0.010;0.006;0.888
Canonical_2;0.006;0.893;0.898;0.006;-0.005;0.020;0.352
Canonical_3;0.002;0.872;0.874;0.002;-0.006;0.013;0.680
Canonical_4;-0.004;0.841;0.837;-0.005;-0.020;0.007;0.450
Canonical_5;0.002;0.820;0.822;0.003;-0.007;0.014;0.656
Canonical_6;-0.010;0.815;0.804;-0.013;-0.032;0.004;0.192
Canonical_7;-0.004;0.800;0.797;-0.005;-0.019;0.011;0.646
Canonical_8;-0.004;0.742;0.738;-0.005;-0.019;0.009;0.606
Canonical_9;0.007;0.720;0.727;0.009;-0.039;0.061;0.752
Canonical_10;0.009;0.666;0.675;0.013;-0.010;0.032;0.412
Canonical_11;0.000;0.632;0.632;0.000;-0.009;0.012;0.932
